algorithm,group_column,group_value,count,mae,rmse,median_multiplicative_error,fraction_within_factor_2
single_coefficient,PGA_true_bin,"[50.0,100.0)",1,74.4815738483442,74.4815738483442,1.7892917878919843,1.0
single_coefficient,PGA_true_bin,"[200.0,400.0)",5,74.1115723523049,95.3368327420775,1.178743262741151,0.8
single_coefficient,PGA_true_bin,"[400.0,1000.0)",1,215.8896790968789,215.8896790968789,2.1598751467878037,0.0
single_coefficient,record_id,26,1,74.4815738483442,74.4815738483442,1.7892917878919843,1.0
single_coefficient,record_id,48,1,6.152170915800411,6.152170915800411,1.029057897682996,1.0
single_coefficient,record_id,61,1,174.57371291759895,174.57371291759895,4.268786176132231,0.0
single_coefficient,record_id,65,1,38.166120595314595,38.166120595314595,1.154512908900127,1.0
single_coefficient,record_id,69,1,107.24796516245686,107.24796516245686,1.3657508510146175,1.0
single_coefficient,record_id,71,1,44.417892170353696,44.417892170353696,1.178743262741151,1.0
single_coefficient,record_id,84,1,215.8896790968789,215.8896790968789,2.1598751467878037,0.0
single_coefficient,camera_id,unknown_same_setup,7,94.4184449581068,118.08073313865391,1.3657508510146175,0.7142857142857143
single_coefficient,site_id,shake_table_setup_unknown,7,94.4184449581068,118.08073313865391,1.3657508510146175,0.7142857142857143
single_coefficient,quality_flags,GOOD,7,94.4184449581068,118.08073313865391,1.3657508510146175,0.7142857142857143
single_coefficient,alignment_status,ALIGNED,7,94.4184449581068,118.08073313865391,1.3657508510146175,0.7142857142857143
ridge,PGA_true_bin,"[50.0,100.0)",1,227.95615519774597,227.95615519774597,3.4156836651084204,0.0
ridge,PGA_true_bin,"[200.0,400.0)",5,90.6233188203338,99.14179843319768,1.5589573723716226,0.8
ridge,PGA_true_bin,"[400.0,1000.0)",1,105.86070598696546,105.86070598696546,1.3574433425233343,1.0
ridge,record_id,26,1,227.95615519774597,227.95615519774597,3.4156836651084204,0.0
ridge,record_id,48,1,51.471329637081055,51.471329637081055,1.2362443197927078,1.0
ridge,record_id,61,1,81.74123333259251,81.74123333259251,1.5589573723716226,1.0
ridge,record_id,65,1,96.97021384450181,96.97021384450181,1.6462998190163611,1.0
ridge,record_id,69,1,58.73367356724873,58.73367356724873,1.2003011531071537,1.0
ridge,record_id,71,1,164.20014372024482,164.20014372024482,2.275649860783476,0.0
ridge,record_id,84,1,105.86070598696546,105.86070598696546,1.3574433425233343,1.0
ridge,camera_id,unknown_same_setup,7,112.41906504091149,126.66941154463095,1.5589573723716226,0.7142857142857143
ridge,site_id,shake_table_setup_unknown,7,112.41906504091149,126.66941154463095,1.5589573723716226,0.7142857142857143
ridge,quality_flags,GOOD,7,112.41906504091149,126.66941154463095,1.5589573723716226,0.7142857142857143
ridge,alignment_status,ALIGNED,7,112.41906504091149,126.66941154463095,1.5589573723716226,0.7142857142857143
huber,PGA_true_bin,"[50.0,100.0)",1,204.2018832504867,204.2018832504867,3.1639562806481965,0.0
huber,PGA_true_bin,"[200.0,400.0)",5,85.21748415933862,94.15458517725935,1.5589573723716226,0.8
huber,PGA_true_bin,"[400.0,1000.0)",1,105.86070598696546,105.86070598696546,1.3574433425233343,1.0
huber,record_id,26,1,204.2018832504867,204.2018832504867,3.1639562806481965,0.0
huber,record_id,48,1,35.16891061589308,35.16891061589308,1.1614190934037307,1.0
huber,record_id,61,1,81.74123333259251,81.74123333259251,1.5589573723716226,1.0
huber,record_id,65,1,96.97021384450181,96.97021384450181,1.6462998190163611,1.0
huber,record_id,69,1,58.73367356724873,58.73367356724873,1.2003011531071537,1.0
huber,record_id,71,1,153.47338943645696,153.47338943645696,2.1005970692702323,0.0
huber,record_id,84,1,105.86070598696546,105.86070598696546,1.3574433425233343,1.0
huber,camera_id,unknown_same_setup,7,105.16428714773504,117.85604278380897,1.5589573723716226,0.7142857142857143
huber,site_id,shake_table_setup_unknown,7,105.16428714773504,117.85604278380897,1.5589573723716226,0.7142857142857143
huber,quality_flags,GOOD,7,105.16428714773504,117.85604278380897,1.5589573723716226,0.7142857142857143
huber,alignment_status,ALIGNED,7,105.16428714773504,117.85604278380897,1.5589573723716226,0.7142857142857143
