timestamp,block_index,capture_timestamp,enqueue_timestamp,tracker_start,tracker_end,motion_end,signal_end,pga_end,write_end,capture_to_tracker_end,capture_to_pga,queue_wait,tracker_compute,postprocess_compute,capture_ms,preprocess_ms,encoder_ms,tracker_ms,motion_fit_ms,signal_ms,pga_ms,total_pipeline_ms,end_to_end_latency_ms
0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013709068298339844,nan,20676.241302862763,284.9005683487572,4.733965826143912,0.0,20965.889546105962,nan
0.16342857460375515,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.004757195711135864,nan,19118.78069676459,284.9005683487572,4.733965826143912,0.0,19408.4199881352,nan
0.3268571492075103,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.004488043487071991,nan,19295.88909447193,284.9005683487572,4.733965826143912,0.0,19585.52811669032,nan
0.4902857238112655,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.003943219780921936,nan,19181.07322603464,284.9005683487572,4.733965826143912,0.0,19470.711703429322,nan
0.6537142984150206,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.004773028194904327,nan,19317.918409593403,284.9005683487572,4.733965826143912,0.0,19607.5577167965,nan
0.8171428730187759,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.004223547875881195,nan,19190.60335215181,284.9005683487572,4.733965826143912,0.0,19480.242109874587,nan
0.980571447622531,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.005307607352733612,nan,19617.620775476098,284.9005683487572,4.733965826143912,0.0,19907.26061725835,nan
1.144000022226286,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.004171393811702728,nan,18577.488022856414,284.9005683487572,4.733965826143912,0.0,18867.126728425126,nan
1.3074285968300412,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0035669654607772827,nan,18622.505175881088,284.9005683487572,4.733965826143912,0.0,18912.14327702145,nan
1.4708571714337966,9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.004643574357032776,nan,18686.74092553556,284.9005683487572,4.733965826143912,0.0,18976.380103284817,nan
1.6342857460375517,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.004382804036140442,nan,18641.403511166573,284.9005683487572,4.733965826143912,0.0,18931.04242814551,nan
1.7977143206413069,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.00405777245759964,nan,18683.125466108322,284.9005683487572,4.733965826143912,0.0,18972.76405805568,nan
