timestamp,block_index,rss_mb,peak_rss_mb,system_available_mem_mb
0.0,0,1096.94921875,2458.90625,19846.2734375
0.16342857460375515,1,1133.59765625,2512.51953125,19778.203125
0.3268571492075103,2,1096.98046875,2512.75390625,19823.0390625
0.4902857238112655,3,1120.859375,2512.75390625,19845.9765625
0.6537142984150206,4,1121.03125,2512.8359375,19790.65625
0.8171428730187759,5,1121.03515625,2512.8359375,19785.96875
0.980571447622531,6,1121.0390625,2512.859375,20002.87109375
1.144000022226286,7,1121.04296875,2512.859375,20005.40625
1.3074285968300412,8,1121.046875,2512.859375,19958.3515625
1.4708571714337966,9,1121.0546875,2512.859375,19980.59375
1.6342857460375517,10,1121.21875,2512.98828125,19979.80078125
1.7977143206413069,11,1121.2265625,2512.9921875,19950.75
1.961142895245062,12,1121.27734375,2513.0859375,19957.484375
2.124571469848817,13,1121.28125,2513.0859375,20013.55859375
2.288000044452572,14,1121.28125,2513.08984375,19888.84375
2.4514286190563275,15,1121.28515625,2513.08984375,19906.046875
2.6148571936600824,16,1121.2890625,2513.125,19942.19921875
2.7782857682638378,17,1121.29296875,2513.125,19918.50390625
2.941714342867593,18,1121.29296875,2513.125,19956.32421875
3.105142917471348,19,1121.296875,2513.125,20003.28515625
3.2685714920751034,20,1121.296875,2513.125,19958.56640625
3.4320000666788584,21,1121.3046875,2513.125,19955.53515625
3.5954286412826137,22,1121.3046875,2513.1484375,19868.44921875
3.7588572158863687,23,1121.8046875,2513.1484375,19862.95703125
3.922285790490124,24,1121.30859375,2513.1484375,19805.0859375
4.085714365093879,25,1121.81640625,2513.1484375,19861.44921875
4.249142939697634,26,1121.31640625,2513.1484375,19796.36328125
4.41257151430139,27,1121.31640625,2513.1484375,19752.5078125
4.576000088905144,28,1121.31640625,2513.1953125,19847.83984375
4.7394286635089,29,1121.8203125,2513.19921875,19843.609375
4.902857238112655,30,1123.640625,2513.19921875,19797.90625
5.06628581271641,31,1121.375,2513.203125,19777.26171875
5.229714387320165,32,1121.37890625,2513.234375,19786.58984375
5.39314296192392,33,1121.3828125,2513.234375,19754.94921875
5.5565715365276755,34,1123.703125,2513.234375,19787.5859375
5.720000111131431,35,1123.70703125,2513.2734375,19832.7109375
5.883428685735186,36,1123.70703125,2513.2734375,19791.828125
6.046857260338941,37,1123.7109375,2513.30078125,19689.23828125
6.210285834942696,38,1123.71484375,2513.30078125,19998.3359375
6.3737144095464515,39,1121.39453125,2513.30078125,19953.08203125
6.537142984150207,40,1123.71875,2513.30078125,19949.5859375
6.700571558753961,41,1121.3984375,2513.30078125,19975.9140625
6.864000133357717,42,1121.3984375,2513.30078125,19892.95703125
7.027428707961472,43,1121.3984375,2513.30078125,19897.80859375
7.1908572825652275,44,1121.3984375,2513.30078125,20004.296875
7.354285857168982,45,1121.40234375,2513.30078125,19976.7734375
7.517714431772737,46,1121.40625,2513.30078125,19871.5
7.681143006376493,47,1121.40625,2513.30078125,19970.20703125
7.844571580980248,48,1121.91015625,2513.30078125,19986.375
8.008000155584003,49,1121.91015625,2513.30078125,19911.4296875
8.171428730187758,50,1123.734375,2513.30078125,19995.5859375
8.334857304791514,51,1134.1640625,2513.30078125,19982.6171875
8.498285879395269,52,1097.54296875,2513.30078125,19963.078125
8.661714453999023,53,1123.7421875,2513.30078125,19936.6640625
8.82514302860278,54,1123.74609375,2513.30078125,19893.0703125
8.988571603206534,55,1123.74609375,2513.30078125,19810.44140625
9.152000177810288,56,1123.74609375,2513.30078125,19807.31640625
9.315428752414045,57,1121.4296875,2513.30078125,19869.21875
9.4788573270178,58,1123.75,2513.30078125,19806.5390625
9.642285901621555,59,1121.43359375,2513.30078125,19797.10546875
9.80571447622531,60,1123.7578125,2513.30078125,19868.8671875
9.969143050829064,61,1134.1875,2513.30078125,19809.60546875
10.13257162543282,62,1097.5625,2513.36328125,19765.6640625
10.296000200036575,63,1121.44140625,2513.36328125,19825.34765625
10.45942877464033,64,1121.61328125,2513.36328125,19834.19140625
10.622857349244086,65,1121.6171875,2513.421875,19783.58984375
10.78628592384784,66,1121.6171875,2513.421875,19860.84375
10.949714498451597,67,1121.62109375,2513.421875,19880.26171875
11.113143073055351,68,1121.625,2513.421875,19813.5234375
11.276571647659106,69,1121.62890625,2513.421875,19824.90234375
11.440000222262862,70,1121.62890625,2513.421875,19999.72265625
11.603428796866616,71,1121.6328125,2513.44140625,19930.95703125
11.766857371470373,72,1121.6328125,2513.44140625,19970.76953125
11.930285946074127,73,1121.6328125,2513.44140625,19989.5859375
12.093714520677882,74,1121.63671875,2513.44140625,19923.640625
12.257143095281638,75,1121.640625,2513.44140625,19925.76171875
12.420571669885392,76,1121.64453125,2513.44140625,19998.14453125
12.584000244489147,77,1121.64453125,2513.453125,19629.5078125
12.747428819092903,78,1121.64453125,2513.453125,19895.94140625
12.910857393696658,79,1121.64453125,2513.453125,19941.6953125
13.074285968300414,80,1121.6484375,2513.453125,19863.265625
13.237714542904168,81,1121.6484375,2513.45703125,19906.21875
13.401143117507923,82,1121.6484375,2513.4765625,19883.41796875
13.564571692111679,83,1121.65625,2513.4765625,19978.85546875
13.728000266715433,84,1121.66015625,2513.4765625,19913.515625
13.89142884131919,85,1121.66015625,2513.4765625,19997.53125
14.054857415922944,86,1121.66015625,2513.4765625,19888.19140625
14.218285990526699,87,1121.6640625,2513.4765625,19785.76171875
14.381714565130455,88,1121.66796875,2513.4765625,19843.1171875
