timestamp,quality,reasons
0.0,GOOD,
0.020428571825469394,GOOD,
0.04085714365093879,GOOD,
0.06128571547640819,GOOD,
0.08171428730187758,GOOD,
0.10214285912734698,GOOD,
0.12257143095281638,GOOD,
0.14300000277828576,GOOD,
0.16342857460375515,GOOD,
0.18385714642922457,GOOD,
0.20428571825469397,GOOD,
0.22471429008016336,GOOD,
0.24514286190563275,GOOD,
0.26557143373110215,GOOD,
0.2860000055565715,GOOD,
0.30642857738204093,GOOD,
0.3268571492075103,GOOD,
0.3472857210329797,GOOD,
0.36771429285844914,GOOD,
0.3881428646839185,GOOD,
0.40857143650938793,GOOD,
0.4290000083348573,GOOD,
0.4494285801603267,GOOD,
0.4698571519857961,GOOD,
0.4902857238112655,GOOD,
0.5107142956367349,GOOD,
0.5311428674622043,GOOD,
0.5515714392876737,GOOD,
0.572000011113143,GOOD,
0.5924285829386124,GOOD,
0.6128571547640819,GOOD,
0.6332857265895513,GOOD,
0.6537142984150206,GOOD,
0.67414287024049,GOOD,
0.6945714420659594,GOOD,
0.7150000138914289,GOOD,
0.7354285857168983,GOOD,
0.7558571575423676,GOOD,
0.776285729367837,GOOD,
0.7967143011933064,GOOD,
0.8171428730187759,GOOD,
0.8375714448442452,GOOD,
0.8580000166697146,GOOD,
0.878428588495184,GOOD,
0.8988571603206534,GOOD,
0.9192857321461227,GOOD,
0.9397143039715922,GOOD,
0.9601428757970616,GOOD,
0.980571447622531,GOOD,
1.0010000194480004,GOOD,
1.0214285912734697,GOOD,
1.0418571630989393,GOOD,
1.0622857349244086,GOOD,
1.082714306749878,GOOD,
1.1031428785753474,GOOD,
1.1235714504008167,GOOD,
1.144000022226286,GOOD,
1.1644285940517556,GOOD,
1.184857165877225,GOOD,
1.2052857377026944,GOOD,
1.2257143095281637,GOOD,
1.246142881353633,GOOD,
1.2665714531791026,GOOD,
1.287000025004572,GOOD,
1.3074285968300412,GOOD,
1.3278571686555107,GOOD,
1.34828574048098,GOOD,
1.3687143123064496,GOOD,
1.3891428841319189,GOOD,
1.4095714559573882,GOOD,
1.4300000277828577,GOOD,
1.450428599608327,GOOD,
1.4708571714337966,GOOD,
1.4912857432592659,GOOD,
1.5117143150847352,GOOD,
1.5321428869102047,GOOD,
1.552571458735674,GOOD,
1.5730000305611433,GOOD,
1.5934286023866129,GOOD,
1.6138571742120822,GOOD,
1.6342857460375517,GOOD,
1.654714317863021,GOOD,
1.6751428896884903,GOOD,
1.6955714615139599,GOOD,
1.7160000333394292,GOOD,
1.7364286051648987,GOOD,
1.756857176990368,GOOD,
1.7772857488158373,GOOD,
1.7977143206413069,GOOD,
1.8181428924667762,GOOD,
1.8385714642922455,GOOD,
1.859000036117715,GOOD,
1.8794286079431843,GOOD,
1.8998571797686539,GOOD,
1.9202857515941232,GOOD,
1.9407143234195925,GOOD,
1.961142895245062,GOOD,
1.9815714670705313,GOOD,
2.002000038896001,GOOD,
2.02242861072147,GOOD,
2.0428571825469395,GOOD,
2.063285754372409,GOOD,
2.0837143261978786,GOOD,
2.1041428980233476,GOOD,
2.124571469848817,GOOD,
2.1450000416742867,GOOD,
2.165428613499756,GOOD,
2.1858571853252253,GOOD,
2.206285757150695,GOOD,
2.226714328976164,GOOD,
2.2471429008016335,GOOD,
2.267571472627103,GOOD,
2.288000044452572,GOOD,
2.3084286162780416,GOOD,
2.328857188103511,GOOD,
2.3492857599289803,GOOD,
2.36971433175445,GOOD,
2.3901429035799193,GOOD,
2.410571475405389,GOOD,
2.431000047230858,GOOD,
2.4514286190563275,GOOD,
2.471857190881797,GOOD,
2.492285762707266,GOOD,
2.5127143345327356,GOOD,
2.533142906358205,GOOD,
2.5535714781836742,GOOD,
2.574000050009144,GOOD,
2.5944286218346133,GOOD,
2.6148571936600824,GOOD,
2.635285765485552,GOOD,
2.6557143373110215,GOOD,
2.676142909136491,GOOD,
2.69657148096196,GOOD,
2.7170000527874296,GOOD,
2.737428624612899,GOOD,
2.7578571964383682,GOOD,
2.7782857682638378,GOOD,
2.7987143400893073,GOOD,
2.8191429119147764,GOOD,
2.839571483740246,GOOD,
2.8600000555657155,GOOD,
2.8804286273911845,GOOD,
2.900857199216654,GOOD,
2.9212857710421236,GOOD,
2.941714342867593,GOOD,
2.9621429146930622,GOOD,
2.9825714865185318,GOOD,
3.0030000583440013,GOOD,
3.0234286301694704,GOOD,
3.04385720199494,GOOD,
3.0642857738204095,GOOD,
3.0847143456458785,GOOD,
3.105142917471348,GOOD,
