record_id,pairing_status,video_path,video_status,fps,width,height,frame_count,duration_s,timestamp_source,strong_motion_paths,strong_motion_segments,strong_motion_samples,strong_motion_duration_s,pga_horizontal_vector_gal,pga_max_horizontal_component_gal,event_group,camera_id,site_id,scale_state
31,paired,${DATA_ROOT}/视频/31.avi,readable,50.0,2448,2048,2892,57.84,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/31.txt,1,10100,100.99,127.67646660602729,126.742,31,unknown,shake_table_setup_unknown,UNCALIBRATED
32,paired,${DATA_ROOT}/视频/32.avi,readable,49.504952,2448,2048,2010,40.601998765699236,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/32.txt,1,5900,58.99,169.96284627235448,168.637,32,unknown,shake_table_setup_unknown,UNCALIBRATED
33,paired,${DATA_ROOT}/视频/33.avi,readable,49.950052,2448,2048,2558,51.21115789829408,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/33.txt,1,6300,62.99,111.57383851512861,110.615,33,unknown,shake_table_setup_unknown,UNCALIBRATED
34,paired,${DATA_ROOT}/视频/34.avi,readable,50.0,2448,2048,3169,63.38,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/34.txt,1,6500,64.99,127.19290929922155,122.996,34,unknown,shake_table_setup_unknown,UNCALIBRATED
35,paired,${DATA_ROOT}/视频/35.avi,readable,49.950052,2448,2048,1547,30.970938728952675,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/35.txt,1,6100,60.99,142.4300157586174,140.083,35,unknown,shake_table_setup_unknown,UNCALIBRATED
36,missing_strong_motion,${DATA_ROOT}/视频/36.avi,readable,50.0,2448,2048,813,16.26,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,36,unknown,shake_table_setup_unknown,UNCALIBRATED
37,paired,${DATA_ROOT}/视频/37.avi,readable,49.950052,2448,2048,2481,49.66961796155888,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/37.txt,1,11600,115.99,145.0745069300599,126.58,37,unknown,shake_table_setup_unknown,UNCALIBRATED
38,paired,${DATA_ROOT}/视频/38.avi,readable,50.0,2448,2048,2276,45.52,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/38.txt,1,6300,62.99,206.7541382899022,167.152,38,unknown,shake_table_setup_unknown,UNCALIBRATED
39,missing_strong_motion,${DATA_ROOT}/视频/39.avi,readable,50.0,2448,2048,2078,41.56,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,39,unknown,shake_table_setup_unknown,UNCALIBRATED
40,paired,${DATA_ROOT}/视频/40.avi,readable,50.0,2448,2048,1288,25.76,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/40.txt,1,5800,57.99,120.30654536225367,119.253,40,unknown,shake_table_setup_unknown,UNCALIBRATED
41,paired,${DATA_ROOT}/视频/41.avi,readable,49.504952,2448,2048,1862,37.61239885658307,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/41.txt,1,5600,55.99,177.26123019995094,133.204,41,unknown,shake_table_setup_unknown,UNCALIBRATED
